disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8,symptom_9,symptom_10,symptom_11,symptom_12
Flu,Fever,Cough,Sore throat,Runny nose,Headache,Fatigue,Body ache,Chills,Loss of appetite,Nausea,Sneezing,Watery eyes
Common Cold,Sneezing,Runny nose,Cough,Sore throat,Headache,Fatigue,Low fever,Body ache,Watery eyes,Nasal congestion,Chills,Loss of appetite
Malaria,Fever,Chills,Sweating,Headache,Nausea,Fatigue,Body ache,Muscle pain,Loss of appetite,Diarrhea,Vomiting,Anemia
Diabetes,Increased thirst,Frequent urination,Fatigue,Blurred vision,Weight loss,Nausea,Slow healing,Frequent infections,Numbness in hands/feet,Irritability,Frequent hunger,Yeast infections
Hypertension,Headache,Dizziness,Nosebleeds,Blurred vision,Chest pain,Fatigue,Shortness of breath,Irregular heartbeat,Nausea,Anxiety,Ringing in ears,Flushing
Asthma,Shortness of breath,Wheezing,Cough,Chest tightness,Fatigue,Anxiety,Difficulty sleeping,Rapid heartbeat,Runny nose,Sore throat,Allergy symptoms,Chest pain
Pneumonia,Fever,Cough,Chills,Shortness of breath,Chest pain,Fatigue,Nausea,Vomiting,Muscle pain,Loss of appetite,Headache,Sweating
Chickenpox,Fever,Rash,Itching,Fatigue,Headache,Loss of appetite,Muscle pain,Chills,Nausea,Sore throat,Blisters,Swollen lymph nodes
Measles,Fever,Rash,Cough,Runny nose,Red eyes,Sore throat,Fatigue,Body ache,Loss of appetite,Diarrhea,Conjunctivitis,Swollen lymph nodes
Hepatitis A,Fever,Fatigue,Nausea,Loss of appetite,Abdominal pain,Dark urine,Jaundice,Joint pain,Diarrhea,Muscle pain,Itching,Headache
Hepatitis B,Fever,Fatigue,Nausea,Loss of appetite,Abdominal pain,Dark urine,Jaundice,Joint pain,Muscle pain,Itching,Headache,Swollen liver
Hepatitis C,Fatigue,Nausea,Loss of appetite,Abdominal pain,Dark urine,Jaundice,Joint pain,Muscle pain,Itching,Headache,Depression,Weakness
COVID-19,Fever,Cough,Shortness of breath,Fatigue,Loss of taste,Loss of smell,Sore throat,Headache,Muscle pain,Chills,Nausea,Diarrhea
Bronchitis,Cough,Fatigue,Shortness of breath,Fever,Chest discomfort,Headache,Body ache,Sore throat,Runny nose,Muscle pain,Chills,Loss of appetite
Sinusitis,Headache,Facial pain,Runny nose,Postnasal drip,Cough,Fever,Fatigue,Pressure around eyes,Nasal congestion,Sore throat,Bad breath,Dizziness
Allergy,Itchy eyes,Sneezing,Runny nose,Cough,Hives,Swelling,Fatigue,Headache,Watery eyes,Skin rash,Shortness of breath,Anxiety
Gastroenteritis,Nausea,Vomiting,Diarrhea,Abdominal cramps,Fever,Headache,Fatigue,Loss of appetite,Dehydration,Chills,Muscle pain,Weakness
Urinary Tract Infection,Frequent urination,Burning sensation,Cloudy urine,Strong odor,Fever,Lower abdominal pain,Back pain,Nausea,Fatigue,Urgency,Chills,Confusion
Kidney Stones,Severe pain,Abdominal pain,Back pain,Nausea,Vomiting,Bloody urine,Fever,Frequent urination,Urgency,Fatigue,Chills,Loss of appetite
Osteoarthritis,Joint pain,Stiffness,Swelling,Decreased range of motion,Fatigue,Muscle weakness,Cracking sounds,Deformity,Redness,Warmth,Pain at night,Limping
Rheumatoid Arthritis,Joint pain,Swelling,Stiffness,Fatigue,Weakness,Loss of appetite,Fever,Redness,Warmth,Muscle pain,Limited mobility,Joint deformity
Anemia,Fatigue,Weakness,Pale skin,Shortness of breath,Dizziness,Headache,Cold hands/feet,Chest pain,Irregular heartbeat,Numbness in hands/feet,Lightheadedness,Cold intolerance
Iron Deficiency Anemia,Fatigue,Weakness,Pale skin,Shortness of breath,Dizziness,Headache,Brittle nails,Craving non-food items,Cold hands/feet,Chest pain,Irregular heartbeat,Numbness in hands/feet
Vitamin D Deficiency,Fatigue,Depression,Bone pain,Muscle weakness,Hair loss,Slow wound healing,Headache,Back pain,Joint pain,Impaired immunity,Anxiety,Loss of appetite
Scurvy,Fatigue,Bleeding gums,Swollen joints,Muscle pain,Joint pain,Loose teeth,Slow healing,Hair loss,Pale skin,Anemia,Fever,Weakness
Goiter,Swelling in neck,Fatigue,Weight change,Hair loss,Hoarseness,Difficulty swallowing,Bulging eyes,Heat/cold intolerance,Weakness,Headache,Anxiety,Irritability
Hyperthyroidism,Weight loss,Increased appetite,Fatigue,Heat intolerance,Anxiety,Tremors,Palpitations,Insomnia,Sweating,Diarrhea,Muscle weakness,Hair thinning
